"x"
"catalog1"
"catalog2"
"catalog3"
"risk_data_type"
"title_collection"
"title_short"
"description_collection"
"title_item"
"description_item"
"item_id"
"bbox"
"data_type"
"format"
"spatial_scale"
"crs_name"
"crs_code"
"spatial_resolution"
"spatial_resolution_unit"
"reference_period"
"temporal_resolution"
"time_interval"
"scenarios"
"data_calculation_type"
"calculation_approach"
"underlying_data"
"provider"
"provider_role"
"license"
"link_website"
"code_link"
"code_type"
"publication_link"
"publication_type"
"usage_notes"
"assets"
