"x"
"catalog1"
"catalog2"
"catalog3"
"risk_data_type"
"title"
"title_short"
"description"
"bbox"
"data_type"
"format"
"spatial_scale"
"reference_period"
"temporal_resolution"
"time_interval"
"scenarios"
"data_calculation_type"
"calculation_approach"
"underlying_data"
"provider"
"provider_role"
"license"
"link_website"
"code_link"
"code_type"
"publication_link"
"publication_type"
"usage_notes"
